filename,artist,title,acoustid_id,yt_query,yt_id,yt_channel,yt_title,duration,audio_format,audio_codec,audio_bitrate,score,yt_channel_id,yt_views,duplicated,sim_artist,sim_artist_title,sim_title,sim_filename,pass,check,1403
(K)NoW_NAME -  Freesia.mp3,(K)NoW_NAME,Freesia,,K NoW NAME Freesia,0RpfxB4CkDg,(K)NoW_NAME - Topic,Freesia,,webm,opus,136.439,266,,1023059.0,False,96.19047619047619,23.84615384615384,100.0,92.33333333333333,True,1.0,
_rif -  Loe Toe Ye.mp3,/rif,Loe Toe Ye,,rif Loe Toe Ye,heh98GB7fjw,Sony Music Entertainment Indonesia,/rif - Loe Toe Ye (Official Music Video),,m4a,mp4a.40.2,387.869,270,@SonyMusicID,4884175.0,False,45.58823529411764,90.97560975609757,92.4390243902439,77.595818815331,True,1.0,
164 feat.GUMI - 例えば、今此処に置かれた花に.mp3,164 feat.GUMI,例えば、今此処に置かれた花に,,,vsnXE547g8k,Kurokumo Official ,例えば、今此処に置かれた花に  - COVER by くろくも☁︎ (kurokumo),324.0,webm,opus,132.506,65,@kurokumoxxx,3778200.0,False,35.41666666666666,42.01183431952663,94.87179487179486,76.17625093353247,False,1.0,
Lia _ 一番の宝物【OFFICIAL MUSIC VIDEO】.mp3,1st PLACE,Lia / 一番の宝物,,1st PLACE Lia 一番の宝物,7lH7csKBnzY,IA PROJECT,Lia / 一番の宝物【OFFICIAL MUSIC VIDEO】,,webm,opus,145.485,270,@IA_PROJECT,12779245.0,False,37.125,42.322206095791,95.28301886792453,97.11544611448673,False,1.0,
Lia _ 君の知らない物語【OFFICIAL MUSIC VIDEO】.mp3,1st PLACE,Lia / 君の知らない物語,,,t8vB1Xfj00E,IA PROJECT,Lia / 君の知らない物語【OFFICIAL MUSIC VIDEO】,334.0,webm,opus,136.029,55,@IA_PROJECT,1941317.0,False,37.125,42.24250325945241,95.76271186440678,97.39765319426336,False,1.0,
22_7 -  Bokuwa Sonzai Shiteinakatta.mp3,22/7,Bokuwa Sonzai Shiteinakatta,,22 7 Bokuwa Sonzai Shiteinakatta,lKGDCoRjlCk,22/7 OFFICIAL YouTube CHANNEL,22/7 - Bokuwa Sonzai Shiteinakatta,,m4a,mp4a.40.2,129.488,370,@227vevo5,616878.0,False,91.37931034482759,91.17647058823529,97.94117647058823,92.51076040172165,True,1.0,
22_7 -  Chikatetsu Teikou Shugi.mp3,22/7,Chikatetsu Teikou Shugi,,22 7 Chikatetsu Teikou Shugi,4unYmkpADbk,22/7 OFFICIAL YouTube CHANNEL,Chikatetsu Teikou Shugi,,m4a,mp4a.40.2,129.492,270,@227SMEJ,99560.0,False,91.37931034482759,90.35398230088497,92.03539823008849,75.22123893805309,True,1.0,
22_7 -  シャンプーの匂いがした.mp3,22/7,シャンプーの匂いがした,,22 7 シャンプーの匂いがした,79qPHlqistg,22/7 OFFICIAL YouTube CHANNEL,22/7 2nd single『シャンプーの匂いがした』music video,,m4a,mp4a.40.2,129.49,370,@227SMEJ,1529904.0,False,91.37931034482759,90.72727272727272,94.18181818181817,73.95693779904308,True,1.0,
22_7 -  循環バス.mp3,22/7,循環バス,,22 7 循環バス,AOjhCli-uh0,22/7 OFFICIAL YouTube CHANNEL,22/7 【振付映像】『循環バス』,,m4a,mp4a.40.2,129.495,370,@227SMEJ,364604.0,False,91.37931034482759,90.97560975609757,92.6829268292683,65.68736141906874,True,1.0,
22_7 - 理解者.mp3,22/7,理解者,,,g7rT0iuqupk,22/7 OFFICIAL YouTube CHANNEL,22/7 - Rikaisya,286.0,m4a,mp4a.40.2,129.493,80,@227vevo5,761321.0,False,91.37931034482759,92.66666666666666,83.41666666666667,80.12539184952978,True,1.0,
